CityID,Lat,Lon
4001,,
4002,,
4003,,
4004,,
4005,,
4006,42.029859,-93.639398
4007,42.377017,-72.51565
4008,33.842679,-117.954035
4009,61.211571,-149.876077
4010,42.279379,-83.783998
4011,38.999645,-76.503139
4012,,
4013,35.597075,-82.556533
4014,33.976097,-83.363174
4015,,
4016,33.749788,-84.31685
4017,39.366411,-74.431727
4018,32.602043,-85.489001
4019,42.6875,-83.234167
4020,,
4021,35.386611,-119.017063
4022,39.17185,-76.648287
4023,44.824199,-68.791839
4024,30.450731,-91.186954
4025,,
4026,,
4027,37.8691,-122.2696
4028,,
4029,45.774489,-108.500452
4030,33.519,-86.8014
4031,,
4032,39.140057,-86.508262
4033,26.3583,-80.0833
4034,35.254167,-81.667222
4035,43.6136,-116.2025
4036,36.214237,-81.666025
4037,,
4038,32.544924,-93.703826
4039,42.357603,-71.068432
4040,40.049733,-105.21426
4041,37.007874,-86.455891
4042,,
4043,45.669269,-111.043057
4044,41.1669,-73.2052
4045,,
4046,,
4047,,
4048,,
4049,,
4050,35.413056,-78.735833
4051,,
4052,42.377045,-71.125611
4053,,
4054,37.31685,-89.545861
4055,37.719994,-89.215762
4056,,
4057,,
4058,42.524071,-92.449725
4059,,
4060,40.111017,-88.240747
4061,35.920322,-79.037189
4062,39.486933,-88.176115
4063,,
4064,,
4065,,
4066,35.2269,-80.8433
4067,,
4068,,
4069,,
4070,42.330556,-71.166667
4071,41.885847,-87.618123
4072,,
4073,,
4074,,
4075,,
4076,,
4077,38.996303,-76.929891
4078,,
4079,,
4080,,
4081,35.084199,-92.423574
4082,,
4083,,
4084,,
4085,,
4086,,
4087,35.240876,-83.147522
4088,,
4089,35.499167,-80.848889
4090,38.554817,-121.748495
4091,,
4092,29.201168,-81.037071
4093,41.934245,-88.760673
4094,29.02659,-81.334853
4095,,
4096,39.840562,-105.007985
4097,41.6005,-93.6088
4098,42.347429,-83.060398
4099,39.156639,-75.535983
4100,34.0243,-84.1484
4101,35.996725,-78.896613
4102,43.133821,-70.952333
4103,42.738805,-84.476409
4104,40.838527,-74.104069
4105,,
4106,,
4107,38.804967,-89.963697
4108,,
4109,36.146638,-79.502334
4110,39.694044,-77.335658
4111,26.435052,-81.810244
4112,,
4113,42.054551,-87.694331
4114,37.9746,-87.5674
4115,,
4116,41.1648,-73.2657
4117,46.900878,-96.793577
4118,,
4119,36.052045,-94.153395
4120,35.185911,-111.661979
4121,40.581293,-105.103884
4122,,
4123,26.620403,-81.8725
4124,41.0716,-85.1367
4125,,
4126,36.841107,-119.800359
4127,33.8796,-117.8951
4128,29.645029,-82.310046
4129,,
4130,33.531122,-112.176703
4131,,
4132,32.524398,-92.715785
4133,47.901041,-97.04463
4134,40.413968,-104.704756
4135,,
4136,36.0726,-79.792
4137,33.378737,-91.046793
4138,35.6594,-77.3974
4139,,
4140,33.515884,-90.172589
4141,30.382556,-89.097618
4142,40.888191,-74.050301
4143,41.361987,-72.93613
4144,,
4145,30.51908,-90.487856
4146,,
